filename,phone_label,start,end
FR-participant8_sort_FR4547.wav,ɔ,0.24,0.36
FR-participant8_temps_FR4555.wav,ɑ̃,0.06,0.41
FR-participant8_tique_FR4286.wav,i,0.09,0.23
FR-participant8_toujours_FR4299.wav,u,0.08,0.17
FR-participant8_toujours_FR4299.wav,u,0.3,0.58
FR-participant8_tutu_FR4288.wav,y,0.09,0.24
FR-participant8_tutu_FR4288.wav,y,0.33,0.63
FR-participant8_un_FR4551.wav,ɛ̃,0.03,0.32
FR-participant8_veuve_FR4295.wav,œ,0.26,0.55
FR-participant8_vin_FR4549.wav,ɛ̃,0.21,0.450062
FR-participant9_cachette.wav,ɛ,0.58,0.72
FR-participant9_cette.wav,ɛ,0.35,0.5
FR-participant9_ete.wav,e,0.23,0.33
FR-participant9_ete.wav,e,0.48,0.58
FR-participant9_femme.wav,a,0.4,0.54
FR-participant9_fils.wav,i,0.29,0.42
FR-participant9_impair.wav,ɛ̃,0.03,0.15
FR-participant9_journee.wav,e,0.55,0.72
FR-participant9_lettre.wav,ɛ,0.33,0.46
FR-participant9_mechant.wav,ɑ̃,0.48,0.73
FR-participant9_meunier.wav,ø,0.25,0.33
FR-participant9_papa.wav,a,0.23,0.31
FR-participant9_papa.wav,a,0.45,0.75
FR-participant9_pardon.wav,ɔ̃,0.44,0.64
FR-participant9_peau.wav,o,0.18,0.45
FR-participant9_porte.wav,ɔ,0.16,0.28
FR-participant9_queue.wav,ø,0.19,0.43
FR-participant9_rideau.wav,o,0.52,0.8
FR-participant9_roule.wav,u,0.14,0.37
FR-participant9_rue.wav,y,0.33,0.49
FR-participant9_soeur.wav,œ,0.39,0.6
FR-participant9_son.wav,ɔ̃,0.32,0.53
FR-participant9_sort.wav,ɔ,0.26,0.47
FR-participant9_temps.wav,ɑ̃,0.24,0.44
FR-participant9_tique.wav,i,0.26,0.37
FR-participant9_toujours.wav,u,0.16,0.27
FR-participant9_toujours.wav,u,0.36,0.62
FR-participant9_tutu.wav,y,0.19,0.3
FR-participant9_tutu.wav,y,0.4,0.59
FR-participant9_veuve.wav,œ,0.25,0.45
FR-participant9_vin.wav,ɛ̃,0.24,0.49
